course_name,course_id,course_basic_information,pre_required_courses,semesterial_data,time,is_manadatory_ds,is_manadatory_ie,is_manadatory_se,time_category
94101 - Intro.to Industrial Eng. and Management,94101,"The Course Provides an Overview of Aspects of Industrial Engineering
And Management, Emphasizing System Integration in The Design Of
Products and Services, Layout Planning, The Design of Information
Systems, Management of Supply Chains and Service Systems, Etc.
The Course Includes an Overview of Decision Making and Is
Accompanied By a Project.",[],"['94100 - מבוא להנדסת תעשיה ושילוב מערכות', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Assaf Avrahami', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Assaf Avrahami', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours']",12:00:00,False,True,False,N
94139 - Manage. Logist. System.,94139,"Modeling of Inventory Systems For Various Products, For Finite
And Infinite Horizon, Under Deterministic Or Stochastic
Conditions, and With Special Constraints. Planning Multi-echelon
Inventory Systems and Supply Chains. Models For Managing And
Controlling Supply Chains.","['94312 - Deterministic Mod.in Operations Research', '94411 - Probability (ie)', '94312 - Deterministic Mod.in Operations Research', '94412 - Probability (advanced)', '94313 - Deterministic Models in Oper.research', '94411 - Probability (ie)', '94313 - Deterministic Models in Oper.research', '94412 - Probability (advanced)', '94412 - Probability (advanced)', '95295 - Algebraic Methods For Data Science', '94412 - Probability (advanced)', '95296 - Algebric Methods For Data Science']","['(94312 - Deterministic Mod.in Operations Research and 94411 - Probability (ie)) or (94312 - Deterministic Mod.in Operations Research and 94412 - Probability (advanced)) or (94313 - Deterministic Models in Oper.research and 94411 - Probability (ie)) or (94313 - Deterministic Models in Oper.research and 94412 - Probability (advanced)) or (94412 - Probability (advanced) and 95295 - Algebraic Methods For Data Science) or (94412 - Probability (advanced) and 95296 - Algebric Methods For Data Science)', '94314 - Stochastic Models in Oper.research', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Galit Yom-tov', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Galit Yom-tov', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Galit Yom-tov']",12:30:00,False,True,False,N
94142 - Operation of Production Service Systems,94142,"Classification of Production Systems, Graphical and Mathematical
Models For System Representation. Scheduling in Flow Shop And
Job Shop Environments. Mass Production Systems and Assembly
Systems. Dynamics of Production Systems# Critical Wip,
Bottleneck Production Rate, Relation Between Wip, Throughput
And Lead Time. Push Versus Pull Control Systems# Mrp, Mrp 2,
Kanban, Conwip, Dbr.",['94139 - Manage. Logist. System.'],"['94139 - Manage. Logist. System.', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Boris Shnits', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Boris Shnits', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours']",11:30:00,False,True,False,M
94170 - Industrial Engineering Methods,94170,"The Course Discusses a Variety of Industrial Engineering Methods. The
Course Will Teach# Systematic Analysis of Process and Their
Presentation, Work Measurement, Lean, Six Sigma, Agile Software
Development, Ergonomics and Product Design Principles. Focus Will Be
Given to Applying Various Advanced Methods Including Automatic Data
Collection Using Sensors and Data Analysis Using Machine Learning
Algorithms.","['94423 - Introduction to Statistics', '114051 - Physics 1', '94424 - Statistics 1', '114051 - Physics 1']","['(94423 - Introduction to Statistics and 114051 - Physics 1) or (94424 - Statistics 1 and 114051 - Physics 1)', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Shlomi Laufer', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Shlomi Laufer', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours']",16:00:00,False,True,False,E
94179 - Industrial Engineering in The Field,94179,"Class Includes Visits in Various Industries and Introduction to The
Different Challenges Each Industry Has# E.g. Food, Plastic,
Electronics, Public Sector, Non-profit, Hospitals, Production, Call
Centers, Software. in Every Industry The Students Will Learn The
Unique Challenges For The Industrial Engineer and Will Learn to Apply
The Correct Tools.","['94142 - Operation of Production Service Systems', '94170 - Industrial Engineering Methods', '95140 - Project Planning and Management', '94142 - Operation of Production Service Systems', '95112 - Performance Measurement and Methods Impr', '95140 - Project Planning and Management']","['(94142 - Operation of Production Service Systems and 94170 - Industrial Engineering Methods and 95140 - Project Planning and Management) or (94142 - Operation of Production Service Systems and 95112 - Performance Measurement and Methods Impr and 95140 - Project Planning and Management)', '96324 - Service Engineering', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 1 Project Hours', 'Assaf Avrahami']",09:30:00,False,False,False,M
94189 - Design Project Proposal,94189,"Groups of Students Will Prepare a Design Project Proposal Whose
Aim Is to Apply The Knowledge and Tools Studied in Previous
Course Work. The Project Proposal Will Include a Literature
Review, Description of The Existing Situation and Problem,
Methodology, Alternative Problem Solutions and The Potential
Benefits of The Proposed Solutions.","['94142 - Operation of Production Service Systems', '94170 - Industrial Engineering Methods', '95140 - Project Planning and Management']","['(94142 - Operation of Production Service Systems and 94170 - Industrial Engineering Methods and 95140 - Project Planning and Management)', '94395 - Design Project Proposal\n96700 - Organizational Practicum', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', 'Yale Herer', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', 'Yale Herer', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                            \n                            \n                             • 6 Project Hours']",17:30:00,False,True,False,E
94195 - Design Project 1,94195,"Students Will Apply Ie and M Knowledge and Skills in Order To
Implement The Preliminary Project Proposal Developed in Course
(094189) and Solve a Real-world Problem. Student Teams Will
Implement an Untegrative Project Relating to Ie and M Topics,
Designing a New System (or Change an Existing System) And
Including a Cost-benefit Analysis. The Grade Will Be Based On
The Quality of The Solution and The Level of Knowledge And
Skill Application.",['94189 - Design Project Proposal'],"['94189 - Design Project Proposal', '94396 - Design Project 1\n96700 - Organizational Practicum', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', 'Yale Herer', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', 'Yale Herer']",17:30:00,False,True,False,E
94198 - Case Studies in Industrial Engineering,94198,"The Study of Cases in Industrial Engineering, Through The Application
Of Relevant Techniques.  The Cases Will Be Dealt With in Two Stages#
A) Presentation and Analysis of The Problem, and B) Survey of Possible
Approaches For a Solution. For Each Case, Students Will Be Required To
Submit  a Detailed Report, Including Problem Analysis Techniques And
Recommendations.","['94139 - Manage. Logist. System.', '94142 - Operation of Production Service Systems']","['(94139 - Manage. Logist. System. and 94142 - Operation of Production Service Systems)', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                            \n                            \n                             • 1 Project Hours', 'Hussein Naseraldin', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                            \n                            \n                             • 1 Project Hours', 'Hussein Naseraldin', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                            \n                            \n                             • 1 Project Hours', 'Hussein Naseraldin']",14:30:00,False,False,False,N
94202 - Introduction to Data Analysis in Python,94202,"The Course Will Provide Students With Basic Knowledge and Tools For
Performing Data Analysis Using Python. The Course Will Include The
Following Topics# Data Collection and Cleaning, Efficient Data
Representations, Exploratory Data Analysis, Data Visualization,
Clustering and Basic Classification Methods.","['234128 - Introduction to Computing With Python', '234221 - Introduction to Computer Science N']","['234128 - Introduction to Computing With Python or 234221 - Introduction to Computer Science N', '94700 - Introduction to Data Science and Engin.\n96202 - Introduction to Data Analysis', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                            \n                             • 2 Lab Hours', 'Ori Plonsky', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                            \n                             • 2 Lab Hours', 'Ori Plonsky', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                            \n                             • 2 Lab Hours']",12:10:00,False,True,True,N
94210 - Computer Architecture and Operating Sys.,94210,"The Course Gives an Introduction to Computer Technologies And
Networks, As Well As Some Basic Computer Science Terminology.
Topics Include# The Structure of The Computer From The Programmer's
Point of View. Memory Organization. Op-code, Addressing.
Selected Topics in Modern Operating Systems, Including Processes
And Threads, Scheduling Problems, Semaphores, The Critical-section
Problem and Memory-management.
Introduction to Networks# The Seven-layer Model of Computer
Networks, Basic Protocols Such As Stop-and-wait and Go-back-n,
Tcp/ip and The Internet. Computations and Computational Complexity.","['94704 - C Programming Workshop', '234221 - Introduction to Computer Science N', '234111 - Introduction to Computer Science', '234117 - Introduction to Computer Science H']","['(94704 - C Programming Workshop and 234221 - Introduction to Computer Science N) or 234111 - Introduction to Computer Science or 234117 - Introduction to Computer Science H', '94201 - Introductio to Data Science\n94219 - Software Engineering', '44334 - Computer Networks and Internet 1\n46209 - Structure of Operating Systems\n46334\n234119\n234120\n236364', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Ofer Strichman', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Ofer Strichman', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours']",12:50:00,True,False,True,N
